agency_ori,geo_name,countCarThefts2019,countCarThefts2020,countCarThefts2021,countCarThefts2022,latitude,longitude,percentChange2019to2022
RI0040900,Providence PD,481,561,704,719,41.84002609,-71.46640907,0.49480249480249483
NH00634,Manchester PD,154,177,211,229,42.98968798,-71.46042812,0.487012987012987
CA01005,Fresno PD,2051,2650,3447,3084,36.77288148,-119.7217618,0.5036567528035105
PA0480400,Easton City PD,24,18,24,36,40.6880907,-75.21724841,0.5
RI00409,Providence PD,477,544,697,714,41.84002609,-71.46640907,0.4968553459119497
MN0271800,Richfield PD,88,134,131,132,44.8812357,-93.268481,0.5
CA00109,Oakland PD,6477,8737,9349,9859,37.7976378,-122.2660669,0.5221553188204415
MO0240700,North Kansas City PD,82,118,138,125,39.14350361,-94.57348598,0.524390243902439
PA0090100,Bensalem Township PD,83,134,113,126,40.1087091,-74.9436865,0.5180722891566265
MN0190700,West St Paul PD,88,111,107,134,44.89806966,-93.08243632,0.5227272727272727
PA0220200,Harrisburg City PD,112,112,118,171,40.2648773,-76.8839839,0.5267857142857143
SD04902,Sioux Falls PD,658,924,936,1006,43.5545239,-96.7302685,0.5288753799392097
OH07701,Akron PD,583,828,1016,900,41.034345,-81.4403329,0.5437392795883362
,Cincinnati PD,1385,1632,1611,2133,39.1868853,-84.4868368,0.540072202166065
OR00901,Bend PD,106,165,145,163,44.0559832,-121.2846605,0.5377358490566038
IL05701,Bloomington PD,74,70,77,115,40.47670903,-88.99237843,0.5540540540540541
,Perry Township PD,29,54,42,45,41.7692347,-81.1473416,0.5517241379310345
MN0270600,Edina PD,49,53,82,76,44.9112534,-93.3482568,0.5510204081632653
OR0030700,Oregon City PD,75,59,101,116,45.3299573,-122.6003047,0.5466666666666666
MOKPD0000,Kansas City PD,3902,4597,"4,675",6093,39.1006143,-94.5768305,0.561506919528447
MN0191000,Apple Valley PD,41,46,56,64,44.7346551,-93.2090356,0.5609756097560976
TXSPD00,San Antonio PD,7781,6980,8911,12193,29.349622,-98.2939291,0.567022233646061
NV0020300,Henderson PD,554,544,785,871,36.03055335,-114.9798275,0.572202166064982
MN0271900,Robbinsdale PD,42,31,60,66,45.0291507,-93.3387365,0.5714285714285714
TX02010,Pearland PD,105,121,144,166,29.5580263,-95.2890371,0.580952380952381
CA01941,Long Beach PD,2255,2738,3382,3564,33.768995,-118.1971895,0.5804878048780487
CO0450100,La Junta PD,24,18,35,38,37.986649,-103.5395996,0.5833333333333334
MO0920500,Wentzville PD,31,48,40,49,38.8228574,-90.8682814,0.5806451612903226
MN0270400,Crystal PD,45,65,76,71,45.0320145,-93.360494,0.5777777777777777
CO0010800,Northglenn PD,265,326,462,422,39.9095859,-104.9882738,0.5924528301886792
OR0030100,Canby PD,17,17,19,27,45.258719,-122.708058,0.5882352941176471
CO0230300,Rifle PD,20,34,39,32,39.53093953,-107.7828813,0.6
FL02902,Tampa PD,523,643,740,838,28.0754033,-82.4371234,0.6022944550669216
CO0300000,Jefferson County SO,375,452,590,605,40.69781307,-104.8876423,0.6133333333333333
PA0390800,Whitehall Township PD,18,23,21,29,40.6550951,-75.4985997,0.6111111111111112
CO0030200,Littleton PD,199,257,368,323,39.5634232,-105.0354762,0.6231155778894473
VA11100,Hampton PD,230,272,348,373,37.028386,-76.344264,0.6217391304347826
PA0091000,Morrisville Borough PD,21,20,21,34,40.210125,-74.7752528,0.6190476190476191
OR0310100,La Grande PD,21,29,27,34,45.32186944,-118.0947696,0.6190476190476191
OR0020100,Corvallis PD,71,109,120,116,44.56574,-123.2631155,0.6338028169014085
NV0020200,North Las Vegas PD,1113,1121,1314,1828,36.19529718,-115.1244534,0.6424079065588499
CA01942,Los Angeles PD,15642,21462,24552,25784,34.0673977,-118.4454579,0.6483825597749648
,Grove City PD,49,78,77,81,39.8818688,-83.0922878,0.6530612244897959
,Summit County SO,68,105,109,112,41.13573775,-81.54827901,0.6470588235294118
,Willoughby PD,17,34,-,28,41.6275256,-81.4245298,0.6470588235294118
OR0220100,Albany PD,98,127,130,162,44.63029393,-123.0973249,0.6530612244897959
MN0710200,Elk River PD,17,30,16,28,45.3039249,-93.6011474,0.6470588235294118
CO0350400,Loveland PD,141,135,193,234,40.4009446,-105.0664304,0.6595744680851063
PA0233700,Upper Darby Township PD,146,142,182,243,39.9136048,-75.25265017,0.6643835616438356
TX04601,New Braunfels PD,106,158,160,177,29.6878793,-98.1092907,0.6698113207547169
MO1040000,Stoddard County SO,18,24,21,30,36.85299439,-89.90958397,0.6666666666666666
,Fairfield County SO,57,67,80,95,39.3364961,-84.5582757,0.6666666666666666
MN0271400,New Hope PD,49,79,86,82,45.0356819,-93.3857043,0.673469387755102
MN0272700,Maple Grove PD,39,42,53,65,45.09969629,-93.44265347,0.6666666666666666
OR0340000,Washington SO,282,403,431,472,45.58002587,-123.0957456,0.6737588652482269
MD01721,Prince George's County PD,2069,2405,2829,3479,38.93610751,-76.80470228,0.681488641855969
,Oregon PD,22,32,29,37,41.6515047,-83.4203106,0.6818181818181818
PAPSP2500,PA State Police - Erie Station,19,27,15,32,42.129027,-80.087938,0.6842105263157895
MN0190100,Burnsville PD,112,146,140,188,44.7671631,-93.2749477,0.6785714285714286
DCMPD00,Washington PD,2228,3262,3493,3761,38.88009352,-76.99862893,0.6880610412926391
TX07102,El Paso PD,869,860,1023,1473,31.7804862,-106.5073782,0.6950517836593786
,Trotwood PD,105,90,115,178,39.7983226,-84.2932497,0.6952380952380952
,Richland County SO,30,30,27,51,40.80361422,-82.5389239,0.7
MN0700400,Shakopee PD,43,56,62,73,44.7956512,-93.5102741,0.6976744186046512
MO0730300,Neosho PD,21,29,18,36,36.87323812,-94.36894779,0.7142857142857143
MN0020600,Fridley PD,79,134,131,135,45.0849248,-93.2628207,0.7088607594936709
TX06102,Denton PD,254,368,355,438,33.2060648,-97.151474,0.7244094488188977
OR0270100,Dallas PD,18,26,22,31,44.9210619,-123.3157243,0.7222222222222222
ND00902,Fargo PD,396,465,593,680,46.87227592,-96.7938236,0.7171717171717171
CO0180000,Douglas County SO,186,351,444,321,39.40289749,-104.8619877,0.7258064516129032
AL00100,Jefferson County SO,220,237,344,380,33.52332616,-86.80708654,0.7272727272727273
,Bluffdale PD,15,21,22,26,40.48885936,-111.9340718,0.7333333333333333
MN0100000,Carver County SO,15,28,37,26,44.82212682,-93.79078677,0.7333333333333333
,North Salt Lake PD,34,58,63,59,40.84094638,-111.9112426,0.7352941176470589
OR0340100,Beaverton PD MIP,200,249,332,347,45.4855042,-122.7973737,0.735
TX07905,Sugar Land PD,65,89,89,114,29.6336142,-95.60059493,0.7538461538461538
TX22701,Austin PD,3035,4067,4585,5302,30.3266214,-97.7244506,0.7469522240527183
PAPSP3500,PA State Police - Hamburg Station,16,13,15,28,40.5394941,-76.0170163,0.75
MN0270100,Bloomington PD,165,240,316,288,44.8247924,-93.3020731,0.7454545454545455
CO0070000,Boulder County SO,46,77,110,81,40.0067893,-105.2610847,0.7608695652173914
OR0030000,Clackamas SO,601,627,973,1068,45.4308595,-122.5768926,0.7770382695507487
KS04606,Overland Park PD,320,545,563,574,38.92536038,-94.7280108,0.79375
PA0021600,Monroeville Borough PD,39,42,32,70,40.4359085,-79.7796065,0.7948717948717948
PAPSP8300,PA State Police - Stroudsburg Station PD,14,9,28,25,40.9870199,-75.1944535,0.7857142857142857
RI0020400,West Warwick PD,19,29,24,34,41.7261406,-71.4354925,0.7894736842105263
MN0271200,Minnetonka PD,42,45,81,75,44.9400028,-93.4659879,0.7857142857142857
CO0010800,Federal Heights PD,89,112,152,160,39.8591408,-105.0156312,0.797752808988764
,Elyria PD,49,64,70,88,41.3694347,-82.1098468,0.7959183673469388
,Fayette County SO,15,28,23,27,41.6732634,-84.3283372,0.8
OR0220000,Linn SO,86,108,121,155,44.51914868,-122.5552236,0.8023255813953488
OR0360200,Newberg-Dundee PD,20,34,27,36,45.2988821,-122.97566,0.8
OR0300000,Umatilla SO,55,64,64,99,45.91632134,-119.3482253,0.8
MO0260100,Jefferson City PD,67,94,83,122,38.573528,-92.170943,0.8208955223880597
OR0140200,Hood River PD,17,17,51,31,45.7077613,-121.5136903,0.8235294117647058
CO0150100,Delta PD,24,36,41,44,38.7405777,-108.0730953,0.8333333333333334
WASPD00,Seattle PD,3755,4753,5303,6864,47.6022312,-122.3303638,0.8279627163781624
CO0350000,Larimer County SO,107,136,177,197,40.56512098,-105.0295384,0.8411214953271028
CO0180700,Lone Tree PD,37,57,111,68,39.5520818,-104.8810313,0.8378378378378378
MN0190600,South St Paul PD,55,85,102,102,44.8918829,-93.03502652,0.8545454545454545
PA0220900,Swatara Township PD,21,32,22,39,40.2464457,-76.80975241,0.8571428571428571
NB05501,Lincoln PD,454,451,623,843,40.7714533,-96.69886002,0.8568281938325991
MN0190800,Eagan PD,73,115,120,136,44.8182555,-93.1659861,0.863013698630137
CO0010400,Thornton PD,642,960,1187,1202,39.8695455,-104.9861666,0.8722741433021807
MN0240100,Albert Lea PD,23,28,36,43,43.64611723,-93.36771807,0.8695652173913043
MO0720000,New Madrid County SO,16,15,36,30,36.58729918,-89.52817979,0.875
NV0040000,Elko County SO,25,31,41,47,40.8246854,-115.7723704,0.88
MN0620600,New Brighton Dept of Public Safety,34,52,55,64,45.0622589,-93.1927311,0.8823529411764706
,Canton PD,347,398,472,657,40.7976347,-81.3764794,0.8933717579250721
OR0340600,Sherwood PD,18,26,16,34,45.3682835,-122.8499168,0.8888888888888888
,Dayton PD,781,835,816,1483,39.7228583,-84.174237,0.8988476312419974
MN0271700,Plymouth PD,44,82,93,84,45.01945956,-93.47485824,0.9090909090909091
,Colerain Township PD,49,79,115,94,39.24587597,-84.60845086,0.9183673469387755
PAPSP0600,PA State Police - Bethlehem Station PD,15,14,18,29,40.58631594,-75.38905159,0.9333333333333333
MN0700600,Savage PD,14,24,44,27,44.7652224,-93.3546861,0.9285714285714286
OH05702,Dayton PD,806,882,856,1566,39.7228583,-84.174237,0.9429280397022333
,Miami County SO,18,18,32,35,40.05954487,-84.2282805,0.9444444444444444
OR0060200,Coos Bay PD,35,51,60,68,43.35946931,-124.2980299,0.9428571428571428
MO0920300,St Charles PD,88,226,198,172,38.79352432,-90.4340394,0.9545454545454546
PA0462100,Plymouth Township PD,22,20,37,43,41.2423996,-75.9511891,0.9545454545454546
,Wood County SO,21,14,17,41,41.35810089,-83.6492367,0.9523809523809523
IL10104,Rockford PD,394,394,449,768,42.2725417,-89.1000575,0.949238578680203
NY02701,Rochester PD,579,823,981,1135,43.1490328,-77.6944235,0.9602763385146805
MN0620400,Maplewood PD,162,208,246,317,45.00359055,-93.02125184,0.9567901234567902
MN0620800,Roseville PD,117,164,169,229,45.0210009,-93.1482652,0.9572649572649573
PA0461400,Lower Merion Township PD,34,51,50,67,40.01271321,-75.3249305,0.9705882352941176
OR0030500,Milwaukie PD,36,67,79,71,45.4461333,-122.6288741,0.9722222222222222
OHCOP00,Columbus PD,3577,3105,4384,7102,39.9639855,-83.0701772,0.9854626782219738
PA0233600,Upper Chichester Township PD,16,22,15,32,39.8571969,-75.4588347,1
PAPSP4300,PA State Police - Jonestown Station,13,13,19,26,40.4249959,-76.4998365,1
MI33519,Lansing PD,369,570,501,743,42.7323296,-84.553552,1.013550135501355
MN0272100,St Louis Park PD,87,108,145,175,44.94817349,-93.34008791,1.0114942528735633
CO0350300,Fort Collins PD,239,310,368,486,40.5771286,-105.0870949,1.0334728033472804
MN0270900,Hopkins PD,27,48,58,55,44.9221299,-93.4134515,1.037037037037037
IL08402,Springfield PD,265,254,354,541,39.75287405,-89.64936794,1.0415094339622641
,Columbus PD,3715,3471,4772,7644,39.9639855,-83.0701772,1.0576043068640646
OR0240400,Stayton PD,17,25,30,35,44.7976972,-122.7919351,1.0588235294117647
MN0271100,Minneapolis PD,3013,3923,4323,6207,44.9773167,-93.26588838,1.0600730169266512
CO0030100,Englewood PD,308,419,605,638,39.6512629,-104.9941159,1.0714285714285714
TNMPD00,Memphis PD,4052,4442,4979,8399,35.1484406,-90.0466752,1.0728035538005922
,Montgomery County SO,157,189,258,326,39.2427983,-84.3468022,1.0764331210191083
,Lakewood PD,52,92,58,108,41.4849346,-81.7774333,1.0769230769230769
PAPSP0900,PA State Police - Butler Station,13,13,17,27,40.7813767,-79.9224806,1.0769230769230769
MN0820000,Washington County SO,35,65,84,73,45.0380066,-92.7996001,1.0857142857142856
,Hurricane PD,20,19,20,42,37.1773116,-113.2839542,1.1
,Riverton PD,18,57,54,38,40.518362,-111.9394512,1.1111111111111112
CO0420000,Montezuma County SO,15,22,33,32,37.31362959,-108.6582465,1.1333333333333333
CO0300100,Arvada PD,385,568,871,820,39.80338856,-105.0878116,1.12987012987013
,Spanish Fork PD,15,18,39,32,40.10858099,-111.668091,1.1333333333333333
OR0241700,Keizer PD,56,127,85,119,44.99584217,-123.0206961,1.125
,Delaware County SO,39,57,58,83,40.3035445,-83.0678388,1.1282051282051282
,Herriman PD,24,58,61,51,40.51650113,-112.0167872,1.125
OR0340400,Tigard PD,118,143,158,253,45.4252104,-122.7673813,1.1440677966101696
,Hilliard PD,22,24,34,47,40.0369871,-83.1547915,1.1363636363636365
PAPSP4100,PA State Police - Huntingdon Station,14,11,25,30,40.4858058,-78.0130808,1.1428571428571428
,Jackson Township PD,25,36,51,54,39.0532059,-82.6370762,1.16
PA0410500,Williamsport City PD,23,20,40,50,41.240838,-77.0023715,1.173913043478261
,Duchesne County SO,12,31,29,26,40.18009722,-110.3878441,1.1666666666666667
CO0621800,Firestone PD,17,51,54,37,40.11769436,-104.9386467,1.1764705882352942
OR0341200,Tualatin PD,63,76,122,138,45.3862124,-122.7658822,1.1904761904761905
PAPSP9200,PA State Police - Waynesburg Station PD,15,18,32,33,40.0363468,-75.373021,1.2
,American Fork/Cedar Hills PD,24,21,47,53,40.3786031,-111.7969003,1.2083333333333333
OR0150100,Ashland PD,23,38,33,51,42.1943736,-122.69824,1.2173913043478262
CA01965,Santa Monica PD,244,391,420,541,34.0122584,-118.490803,1.2172131147540983
,Huber Heights PD,54,82,93,120,39.8639099,-84.1302641,1.2222222222222223
CO0510100,Pueblo PD,789,971,1434,1756,38.2658726,-104.6093623,1.2256020278833968
NY01401,Buffalo PD,679,1190,1530,1511,42.8841871,-78.8794237,1.2253313696612667
CO0180500,Parker PD,72,123,151,162,39.532693,-104.772093,1.25
TX10808,McAllen PD,28,49,40,63,33.0547359,-96.6216095,1.25
PA0462900,Upper Merion Township PD,23,23,32,52,40.10260696,-75.36764188,1.2608695652173914
MN0140400,Moorhead PD,76,130,158,172,46.8842155,-96.7652554,1.263157894736842
VA11700,Norfolk PD,802,790,1098,1831,36.88530797,-76.30008791,1.2830423940149627
CO0030000,Arapahoe County SO,330,612,793,757,39.68864095,-104.8950755,1.293939393939394
CO0010500,Westminster PD,647,966,1533,1481,39.86152034,-105.0486239,1.2890262751159196
OR0040100,Astoria PD,14,30,20,32,46.15881376,-123.6597951,1.2857142857142858
,Bountiful PD,20,29,36,46,40.88016717,-111.8797112,1.3
CO0010300,Commerce City PD,380,606,771,879,39.8060857,-104.8966105,1.313157894736842
MI50765,Sterling Heights PD,99,154,187,229,42.59101309,-83.01246416,1.3131313131313131
WIMPD00,Milwaukee PD,3488,4544,10478,8056,43.0424908,-87.9223178,1.3096330275229358
,Washington City PD,19,30,28,44,37.1313021,-113.5102375,1.3157894736842106
WA01707,Kent PD,850,961,1505,1981,47.3804542,-122.2369908,1.3305882352941176
CO0300200,Golden PD,47,89,126,110,39.7303381,-105.2019249,1.3404255319148937
ILCPD00,Chicago PD,8140,9272,10225,19064,41.8303418,-87.6238183,1.342014742014742
CO0070300,Lafayette PD,51,61,117,120,40.00254222,-105.0946012,1.3529411764705883
,Moraine PD,20,33,34,47,39.6875341,-84.2249462,1.35
,Upper Arlington PD,16,11,27,38,40.0312044,-83.0509795,1.375
CO0300400,Lakewood PD,881,"1,415","1,963","2,136",39.7188023,-105.1515297,NaN
OR0030300,Gladstone PD,31,37,67,75,45.3806907,-122.5943906,1.4193548387096775
OR0050300,St. Helens PD,14,29,37,34,45.86058734,-122.8085123,1.4285714285714286
,Westerville PD,27,35,32,66,40.0982878,-82.9049129,1.4444444444444444
PA0040100,Aliquippa City PD,13,14,13,32,40.6179532,-80.2462473,1.4615384615384615
PAPSP5600,PA State Police - Media Station,21,24,35,53,39.9303781,-75.387119,1.5238095238095237
NY03030,New York PD,5430,9037,10415,13749,40.70825034,-74.01051914,1.5320441988950275
OR0160000,Jefferson SO,11,20,27,28,44.81470809,-121.1782887,1.5454545454545454
MN0272600,Eden Prairie PD,22,54,68,57,44.8563252,-93.4619008,1.5909090909090908
CO0031100,Centennial PD,189,348,495,502,39.579896,-104.8377581,1.656084656084656
CO0300300,Edgewater PD,30,57,77,80,39.7531404,-105.0616393,1.6666666666666667
,Dublin PD,28,38,37,75,40.1121409,-83.0923317,1.6785714285714286
MN0821100,Woodbury Public Safety,38,62,99,103,44.9181561,-92.9347546,1.7105263157894737
,Sylvania Township PD,24,38,39,65,41.6946289,-83.7223008,1.7083333333333333
CO0620400,Evans PD,61,100,122,168,40.3768864,-104.6976337,1.7540983606557377
PA0480300,Bethlehem City PD,38,35,57,108,40.58631594,-75.38905159,1.8421052631578947
MI41141,Kent County SO,111,250,260,315,43.00623035,-85.41564634,1.837837837837838
CO0011100,Denver PD,5347,8468,12792,15256,39.7417702,-105.0092523,1.853188703946138
CO0010100,Aurora PD,2380,4041,5648,6879,39.7461551,-104.8425436,1.8903361344537815
CO0640100,Broomfield PD,139,283,380,402,39.9206944,-105.0683333,1.8920863309352518
PA0461900,Norristown Borough PD,62,83,115,179,40.1154711,-75.3434018,1.8870967741935485
CO0030400,Glendale PD,84,156,262,244,39.6991427,-104.9360247,1.9047619047619047
MI41436,Grand Rapids PD,501,581,937,1464,42.9635764,-85.6685339,1.9221556886227544
CO0620700,Erie PD,15,31,51,44,40.05076874,-105.0499383,1.9333333333333333
OR0030900,West Linn PD,14,21,35,41,45.3600615,-122.6109414,1.9285714285714286
,Lucas County SO,55,75,116,165,41.62276612,-83.7401725,2
,Forest Park PD,26,29,46,81,40.8014951,-83.5143463,2.1153846153846154
PA0460500,Cheltenham Township PD,49,61,47,153,40.08284735,-75.12557795,2.122448979591837
PA0233000,Sharon Hill Borough PD,8,11,12,25,39.9063398,-75.2721835,2.125
PA0460100,Abington Township PD,19,19,24,60,40.1171761,-75.1208464,2.1578947368421053
CO0621000,Johnstown PD,24,43,56,77,40.3298543,-104.9069317,2.2083333333333335
TX24605,Round Rock PD,53,93,147,170,30.5404837,-97.6871334,2.207547169811321
NV0070100,Winnemucca PD,12,24,28,39,40.97204736,-117.7334873,2.25
CO0620200,Greeley PD,308,392,569,1013,40.42371865,-104.7275098,2.288961038961039
,Gahanna PD,32,55,45,106,40.0137492,-82.8654989,2.3125
MN0191100,Lakeville PD,16,16,53,54,44.6572022,-93.2416518,2.375
PA0220400,Lower Paxton Township PD,15,27,25,51,40.29866047,-76.80356335,2.4
WA02703,Tacoma PD,1699,2169,3782,5814,47.2251036,-122.4726379,2.422012948793408
PAPSP8000,PA State Police -  Somerset Station,9,25,20,31,40.0097097,-79.084238,2.4444444444444446
CO0070600,Louisville PD,19,43,80,68,39.97262224,-105.1634969,2.5789473684210527
CO0030300,Sheridan PD,45,130,161,165,39.64195689,-105.0269227,2.6666666666666665
CO0240200,Black Hawk PD,8,11,24,30,39.801871,-105.4953632,2.75
PA0231000,East Lansdowne Borough PD,7,6,5,27,39.9382035,-75.2717272,2.857142857142857
CO0620600,Windsor PD,10,8,12,41,40.47803526,-104.901141,3.1
,Green Township PD,17,46,64,73,39.18684671,-84.65144244,3.2941176470588234
CO0030700,Greenwood Village PD,53,100,17,248,39.6064565,-104.9031846,3.6792452830188678
MN0272000,St Anthony PD,10,19,39,59,45.03806401,-93.21353751,4.9
VT00401,Burlington PD,55,62,137,362,44.4823272,-73.2211021,5.581818181818182
PA0063500,Central Berks Regional PD,5,6,9,25,40.32808551,-75.89353075,4
PAPSP1100,PA State Police - Pittsburgh Station,7,12,42,37,40.48011375,-80.19365216,4.285714285714286
PAPEP0000,Philadelphia City PD,5570,6977,8882,12646,39.94821863,-75.20416489,1.2703770197486535
